L,task,trained,reference_size,k,observed,alpha_own,alpha_pooled,pred_transfer,err_transfer,pred_last,err_last,pred_own,err_own
1,bpb_tur_Latn,False,1.7B,1,1.617276,0.16094503772432003,0.1412960670598242,1.6654296559501622,0.029774544326486203,2.296379,0.41990544594738316,,
1,bpb_tur_Latn,False,1.7B,2,1.617276,0.16094503772432003,0.1412960670598242,1.6136432391401405,-0.002246221955843912,1.954662,0.2086137431087829,,
1,bpb_tur_Latn,False,1.7B,3,1.617276,0.16094503772432003,0.1412960670598242,1.6004350223762722,-0.010413174760354891,1.823925,0.12777596402840338,1.4804099486943476,-0.08462751645708731
1,bpb_tur_Latn,False,1.7B,4,1.617276,0.16094503772432003,0.1412960670598242,1.6021746213983805,-0.009337539542798768,1.732554,0.07127911376907838,1.5600336276990616,-0.035394312597811575
1,bpb_uig_Arab,False,1.7B,1,1.741935,0.13876306521489967,0.14139020407186778,1.6537154889330712,-0.05064454819894475,2.280715,0.30929971554621716,,
1,bpb_uig_Arab,False,1.7B,2,1.741935,0.13876306521489967,0.14139020407186778,1.6328710707304108,-0.06261079160220627,2.016,0.1573336548149041,,
1,bpb_uig_Arab,False,1.7B,3,1.741935,0.13876306521489967,0.14139020407186778,1.6192839100169096,-0.07041083047478257,1.845082,0.059214034966861624,1.539613597900159,-0.11614750383903014
1,bpb_uig_Arab,False,1.7B,4,1.741935,0.13876306521489967,0.14139020407186778,1.6330595146910343,-0.06250261077994629,1.805603,0.03655015830096993,1.6388897938141154,-0.05915559776104427
1,bpb_ukr_Cyrl,False,1.7B,1,1.145411,0.17145418963763517,0.1412960670598242,1.211946216217238,0.05808850815754182,1.671093,0.45894617739833127,,
1,bpb_ukr_Cyrl,False,1.7B,2,1.145411,0.17145418963763517,0.1412960670598242,1.1461226086655054,0.0006212692784559069,1.35507,0.18304259344462384,,
1,bpb_ukr_Cyrl,False,1.7B,3,1.145411,0.17145418963763517,0.1412960670598242,1.1320527552259971,-0.011662403079770341,1.279516,0.11708024455850358,0.9944836879212934,-0.1317669483519074
1,bpb_ukr_Cyrl,False,1.7B,4,1.145411,0.17145418963763517,0.1412960670598242,1.135534096954315,-0.008623020946791059,1.235271,0.07845218877765278,1.0900162848992354,-0.04836230409937092
1,bpb_urd_Arab,False,1.7B,1,1.179452,0.1409494530593898,0.14139020407186778,1.1655981829928688,-0.011745977799122962,1.60753,0.3629465209266676,,
1,bpb_urd_Arab,False,1.7B,2,1.179452,0.1409494530593898,0.14139020407186778,1.1300474580103412,-0.04188770885941837,1.36991,0.1614800771883892,,
1,bpb_urd_Arab,False,1.7B,3,1.179452,0.1409494530593898,0.14139020407186778,1.126689023549836,-0.044735162134757527,1.297685,0.10024401162573808,1.064062790039478,-0.09783290033042638
1,bpb_urd_Arab,False,1.7B,4,1.179452,0.1409494530593898,0.14139020407186778,1.1360996796925769,-0.03675632438405555,1.255558,0.06452657674920217,1.1367791489330588,-0.036180235454211944
1,bpb_uzn_Cyrl,False,1.7B,1,1.562884,0.09583387136572498,0.14139020407186778,1.4374816650319517,-0.08023777514393148,1.982497,0.2684863367978686,,
1,bpb_uzn_Cyrl,False,1.7B,2,1.562884,0.09583387136572498,0.14139020407186778,1.417114119087273,-0.09326980179765551,1.746847,0.1177073922312853,,
1,bpb_uzn_Cyrl,False,1.7B,3,1.562884,0.09583387136572498,0.14139020407186778,1.4365779631727569,-0.08081600222872783,1.710521,0.09446446441322583,1.4810925044615144,-0.05233369561559625
1,bpb_uzn_Cyrl,False,1.7B,4,1.562884,0.09583387136572498,0.14139020407186778,1.4637601785783383,-0.06342365871149852,1.669073,0.06794426201816647,1.5570721583060068,-0.00371866478509805
1,bpb_uzn_Latn,False,1.7B,1,2.501462,0.09253151121178553,0.14139020407186778,2.2021353326092945,-0.1196606893851298,3.037066,0.214116384738205,,
1,bpb_uzn_Latn,False,1.7B,2,2.501462,0.09253151121178553,0.14139020407186778,2.2041034551575076,-0.11887390047999628,2.7584650000000006,0.10274111699478167,,
1,bpb_uzn_Latn,False,1.7B,3,2.501462,0.09253151121178553,0.14139020407186778,2.2360946561393105,-0.10608489909528492,2.666595,0.06601459466503987,2.3646645466846015,-0.054687000368344035
