task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
belebele_hrv_Latn,50,belebele,benchmark,2,3,True,,,,4.0
belebele_hun_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_hun_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ind_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_ind_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ind_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ita_Latn,8,belebele,benchmark,0,5,True,,,,4.0
belebele_ita_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_ita_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ita_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_jpn_Jpan,8,belebele,benchmark,0,5,True,,,,4.0
belebele_jpn_Jpan,15,belebele,benchmark,0,5,True,,,,4.0
belebele_jpn_Jpan,30,belebele,benchmark,0,5,True,,,,4.0
belebele_jpn_Jpan,50,belebele,benchmark,0,5,True,,,,4.0
belebele_kat_Geor,50,belebele,benchmark,0,5,True,,,,4.0
belebele_kaz_Cyrl,50,belebele,benchmark,1,4,True,,,,4.0
belebele_kor_Hang,30,belebele,benchmark,0,5,True,,,,4.0
belebele_kor_Hang,50,belebele,benchmark,0,5,True,,,,4.0
belebele_lit_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_lvs_Latn,50,belebele,benchmark,1,4,True,,,,4.0
belebele_mal_Mlym,50,belebele,benchmark,0,5,True,,,,4.0
belebele_mar_Deva,50,belebele,benchmark,1,4,True,,,,4.0
belebele_nld_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_nld_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_nld_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_nob_Latn,30,belebele,benchmark,1,4,True,,,,4.0
belebele_nob_Latn,50,belebele,benchmark,1,4,True,,,,4.0
belebele_npi_Deva,50,belebele,benchmark,2,3,True,,,,4.0
belebele_npi_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_pes_Arab,15,belebele,benchmark,1,4,True,,,,4.0
belebele_pes_Arab,30,belebele,benchmark,1,4,True,,,,4.0
belebele_pes_Arab,50,belebele,benchmark,1,4,True,,,,4.0
belebele_pol_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_pol_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_pol_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_por_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_por_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_por_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ron_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ron_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_rus_Cyrl,2,belebele,benchmark,0,5,True,,,,4.0
belebele_rus_Cyrl,8,belebele,benchmark,0,5,True,,,,4.0
belebele_rus_Cyrl,15,belebele,benchmark,0,5,True,,,,4.0
belebele_rus_Cyrl,30,belebele,benchmark,0,5,True,,,,4.0
belebele_rus_Cyrl,50,belebele,benchmark,0,5,True,,,,4.0
belebele_slk_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_slv_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_spa_Latn,8,belebele,benchmark,0,5,True,,,,4.0
belebele_spa_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_spa_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_spa_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_srp_Cyrl,50,belebele,benchmark,1,4,True,,,,4.0
belebele_swe_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_swe_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_tam_Taml,50,belebele,benchmark,0,5,True,,,,4.0
belebele_tha_Thai,30,belebele,benchmark,0,5,True,,,,4.0
belebele_tha_Thai,50,belebele,benchmark,0,5,True,,,,4.0
belebele_tur_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_tur_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ukr_Cyrl,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ukr_Cyrl,50,belebele,benchmark,0,5,True,,,,4.0
belebele_urd_Arab,50,belebele,benchmark,2,3,True,,,,4.0
belebele_urd_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_vie_Latn,15,belebele,benchmark,1,4,True,,,,4.0
belebele_vie_Latn,30,belebele,benchmark,1,4,True,,,,4.0
belebele_vie_Latn,50,belebele,benchmark,1,4,True,,,,4.0
