intervention,label,population,L,proxy_size,frac,reference_size,n_items,decision_acc,n_decided,decision_acc_decided,mean_abs_delta_proxy,mean_abs_delta_ref,reference_prefers
arch,depth (deep vs shallow),bpb_macro,1,350M,0.6,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.6,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.8,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.8,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.9,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,1.0,1.7B,1,1.0,0,,0.0361899999999999,0.0100310000000001,deep
arch,depth (deep vs shallow),bpb_macro,1,350M,1.0,1.7B,1,0.0,0,,0.0104549999999998,0.0100310000000001,deep
arch,depth (deep vs shallow),bpb_macro,1,600M,1.0,1.7B,1,1.0,0,,0.0422500000000001,0.0100310000000001,deep
arch,depth (deep vs shallow),bpb_macro,1,1B,1.0,1.7B,1,0.0,0,,0.0072379999999998,0.0100310000000001,deep
arch,depth (deep vs shallow),loss,1,175M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.2,1.7B,1,0.0,0,,,,
