intervention,label,population,proxy_size,frac,da,cells,items,refs
scheme,language lists (A vs B),benchmark,175M,0.6,0.519505767234886,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.7,0.4589170858021541,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.8,0.45330040993706894,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.9,0.4806842755637937,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,1.0,0.4700535070272447,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.1,0.49711603544688693,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.2,0.49966165439632343,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.3,0.4999986983369953,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.4,0.47920055329355443,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.5,0.4655159097930182,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.6,0.46141341511248096,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.7,0.4785912882298424,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.8,0.4587671342240179,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,0.9,0.47622885665392767,3,864,1.7B
scheme,language lists (A vs B),benchmark,1B,1.0,0.45773994855827804,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.1,0.4546328789661671,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.2,0.45245233310076954,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.3,0.4704555473406156,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.4,0.4328326269642095,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.5,0.432154286983717,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.6,0.4664236027949307,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.7,0.49620426390089306,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.8,0.48164108464974853,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,0.9,0.5035781848222622,3,864,1.7B
scheme,language lists (A vs B),benchmark,350M,1.0,0.4879558857729969,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.1,0.47847717577310106,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.2,0.4699020802310365,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.3,0.4738213875380519,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.4,0.4956363917207291,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.5,0.4785434738088048,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.6,0.47187705011923226,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.7,0.45186302686979546,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.8,0.4403458258270767,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,0.9,0.42951060942126323,3,864,1.7B
scheme,language lists (A vs B),benchmark,600M,1.0,0.410712339418174,3,864,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.1,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.2,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.3,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.4,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.5,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.6,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.7,1.0,3,3,1.7B
