population,group,size,n_matching,n_comparable,reliability_macro,n_tasks,median_pairs,compute,frac,reliability,non_emb,reference_size,tau,reaches_tau,n_min_size,share_L,share_T,share_arch,share_lang2,share_list,share_multi,se,n_families,lo,hi,panel,proxy_size,da,tasks,chinchilla,L
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.8216875141031522,329.0,4.5,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.771204087679139,358.0,4.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.5287997114317395,436.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-goal,175M,0.4754666824994414,227.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-goal,350M,0.4838973743005429,321.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-goal,1B,0.5282789459788304,387.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-goal,600M,0.4998986517223746,352.0,0.5,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-goal,1B,0.5357859331558933,387.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-goal,175M,0.4811162392613047,227.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-goal,350M,0.4944998775996709,321.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-goal,600M,0.5096854871450016,352.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.5608519232822344,436.0,1.0,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.5899386245521479,436.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-goal,175M,0.5319724129441584,227.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-goal,350M,0.4984258150811177,321.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-goal,600M,0.5296988148243096,352.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-goal,1B,0.5477539837945737,387.0,1.5,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-goal,175M,0.5078319502772607,227.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-goal,350M,0.5106888427644231,321.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-goal,1B,0.5420338466004623,387.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.6002531516287118,436.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-goal,600M,0.5380431092959315,352.0,2.0,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.6138141777887024,436.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-goal,1B,0.5526091466539855,387.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-goal,600M,0.5486782443883531,352.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-goal,175M,0.5131025968419373,227.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-goal,350M,0.5074541618710845,321.0,2.5,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-goal,350M,0.5210748554039182,321.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-goal,1B,0.5616281735167653,387.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.6191410476273849,436.0,3.0,all
,all benchmarks,,,,,,55.0,,0.6,,,,,,,,,,,,,,,,,DA-goal,175M,0.5060009958248526,227.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-goal,600M,0.5460732302320646,352.0,3.0,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.6442800433047092,436.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-goal,1B,0.5692814578859577,387.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-goal,175M,0.4929513338101274,227.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-goal,600M,0.5447895638661977,352.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-goal,350M,0.5275187117204948,321.0,3.5,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-goal,350M,0.5282139881794179,321.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-goal,600M,0.5423069609125828,352.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-goal,1B,0.5626268037136923,387.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.6595197810215883,436.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-goal,175M,0.5067133541084892,227.0,4.0,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-goal,1.7B,0.7355058275489041,436.0,4.5,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-goal,350M,0.5263897303462194,321.0,4.5,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-goal,175M,0.5081637909817808,227.0,4.5,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-goal,1B,0.5704643400723136,387.0,4.5,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-goal,600M,0.5526084486632504,352.0,4.5,all
,all benchmarks,,,,,,66.0,,1.0,,,,,,,,,,,,,,,,,DA-goal,175M,0.5198724682742103,227.0,5.0,all
,all benchmarks,,,,,,66.0,,1.0,,,,,,,,,,,,,,,,,DA-goal,1B,0.5692215361783397,387.0,5.0,all
,all benchmarks,,,,,,66.0,,1.0,,,,,,,,,,,,,,,,,DA-goal,350M,0.5298842250738898,321.0,5.0,all
,all benchmarks,,,,,,66.0,,1.0,,,,,,,,,,,,,,,,,DA-goal,600M,0.5485992158407692,352.0,5.0,all
